Date,Daily_Total_Production_kg,Daily_Total_Energy_MWh,Daily_Avg_Temperature
2026-04-01,28486.772295580777,838.2490569884471,179.26180859543186
2026-04-02,28316.195887140144,834.1304524383436,178.68521778019053
2026-04-03,28740.23916030902,838.2547985917188,180.48413638955859
2026-04-04,28400.757804176115,839.8362709624291,179.3370968990022
2026-04-05,28266.248252644615,841.2359640411688,180.25251395941723
2026-04-06,28066.778691676314,837.0710997969055,179.55167332352593
2026-04-07,28045.748300861836,843.4307256133407,181.05860408502062
2026-04-08,28489.343778682676,844.5563620265799,180.1468338854
2026-04-09,28713.6280676629,1009.8856011311776,202.20917493167076
2026-04-10,28739.303136435487,838.7603216647436,179.5178203407315
2026-04-11,28513.97793103273,839.167197213723,179.43842267196354
2026-04-12,28268.574735774608,837.5367758297002,180.01597412243643
2026-04-13,28278.92077272796,840.7636394564148,180.73081463416312
2026-04-14,28345.60673086692,845.071632529192,181.2076405590075
2026-04-15,27765.84159818093,835.9808299048334,178.85127945056445
2026-04-16,27771.56152661118,844.2561563326225,181.01301491014817
2026-04-17,28173.622351327733,842.4609731055585,180.07977565000883
2026-04-18,28274.644145981067,838.1535512524532,181.0028677167154
2026-04-19,28309.682369266036,837.429704875491,178.96155709893935
2026-04-20,28315.693961675293,841.7557262155251,180.48112613223418
2026-04-21,28242.98168689254,837.806809582229,179.4666037691193
2026-04-22,28580.76013275022,836.8202531912161,178.1008662940651
2026-04-23,28321.90602253918,837.141887808606,178.77422815597174
2026-04-24,27879.9193119374,840.1911354762269,179.84522578832525
2026-04-25,28364.040505622033,843.4545139979854,180.4608139955625
2026-04-26,28035.821015119844,847.5021723483454,181.83873016504734
2026-04-27,28078.742437149584,829.8179580872206,178.39875720255694
2026-04-28,28345.1197752031,843.636225093752,180.27096216271616
2026-04-29,28456.06771123044,843.5209915012929,180.03222588797811
2026-04-30,28129.907099986376,839.9066180956577,179.6341788023759
